Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event
KMT-2020-BLG-0447,SSO14M0104.010014,17:41:04.50,-28:27:38.45,9021.1759,59.09,0.126,21.35,19.41,19.41,2,4.39,
KMT-2020-BLG-0448,SSO33M0302.064621,18:16:36.75,-29:48:09.43,9057.55684,198.78,0.053,20.63,20.0,25.0,3,0.38,
KMT-2020-BLG-0449,SSO34K0403.040562,18:01:34.94,-31:49:30.50,9029.32312,42.81,0.191,19.71,19.68,19.68,1,1.2,MB20131
KMT-2020-BLG-0450,SSO02N0505.036450,17:56:47.79,-29:32:51.61,9008.4311,7.45,0.106,20.06,18.85,18.85,1,1.53,
KMT-2020-BLG-0451,SSO03T0202.029909,18:01:02.58,-28:46:55.88,9018.97936,15.29,0.27,18.6,18.37,18.37,1,0.9,MB20093
KMT-2020-BLG-0452,SSO32T0101.052429,18:11:03.11,-28:54:40.28,9009.25818,34.25,0.218,19.86,19.84,19.84,1,0.71,
KMT-2020-BLG-0453,SSO38K0205.004860,17:53:58.99,-21:58:14.84,9012.1611,170.38,0.048,22.46,17.86,17.86,4,2.19,
KMT-2020-BLG-0454,SSO43T0305.040894,18:00:17.66,-28:33:39.49,9010.6224,9.02,0.315,20.23,18.81,18.81,1,1.25,
KMT-2020-BLG-0455,SSO01K0704.017813,17:50:35.61,-30:41:26.81,9013.75602,19.47,0.117,20.36,18.8,18.8,1,2.44,
KMT-2020-BLG-0456,SSO03K0406.043481,17:59:51.23,-27:09:43.99,9058.50552,105.21,0.071,19.74,19.65,19.65,1,2.06,MB20128
KMT-2020-BLG-0457,SSO04K0405.077766,18:01:47.14,-29:24:36.68,9010.81932,17.18,0.076,20.1,20.0,20.08,1,1.19,
KMT-2020-BLG-0458,SSO11M0304.029097,17:30:55.86,-29:26:52.04,9010.6763,15.59,0.069,21.17,20.0,20.97,2,3.3,
KMT-2020-BLG-0459,SSO11N0501.008462,17:29:39.27,-30:57:03.35,9019.25314,19.08,0.222,19.89,20.0,20.36,2,4.11,
KMT-2020-BLG-0460,SSO12N0206.001292,17:31:34.59,-28:15:12.28,9011.63661,16.56,0.295,18.15,16.7,16.7,2,2.2,
KMT-2020-BLG-0461,SSO15N0701.008342,17:37:45.10,-27:43:36.55,9019.81789,17.05,0.102,19.13,19.1,19.1,2,3.05,MB20098
KMT-2020-BLG-0462,SSO20N0303.021007,17:49:21.74,-23:19:22.19,9016.07165,12.86,0.302,19.3,19.29,19.29,1,1.97,
KMT-2020-BLG-0463,SSO34T0605.021659,18:00:19.54,-32:36:36.40,9016.4216,24.29,0.199,19.02,18.95,18.95,1,1.06,MB20088
KMT-2020-BLG-0464,SSO02K0408.063386,17:52:14.85,-27:58:53.62,9012.27731,0.68,0.115,21.62,20.0,22.74,2,4.76,
KMT-2020-BLG-0465,SSO03N0203.031178,18:05:43.66,-28:44:13.09,9014.65194,13.57,0.119,19.31,18.94,18.94,1,1.01,MB20074
