Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2016-BLG-0088,SAO42K0502.016861,17:51:29.76,-28:54:21.82,7488.05842,13.03,0.135,20.25,19.74,19.74,2,3.7,OB160554 OB160600,2016,267.874,-28.90606111111111
KMT-2016-BLG-0089,BLG42M0105.010054,17:58:39.88,-28:31:47.60,7530.29191,139.71,0.004,20.64,17.64,17.64,1,1.54,OB160548 MB16242,2016,269.66616666666664,-28.529888888888888
KMT-2016-BLG-0090,BLG42M0401.073004,17:56:37.09,-29:01:12.11,7543.44098,37.62,0.015,22.04,20.0,20.11,1,2.32,MB16296,2016,269.15454166666666,-29.020030555555554
KMT-2016-BLG-0091,SAO42M0402.001412,17:56:44.62,-28:51:54.50,7495.35636,4.87,0.789,18.52,15.53,15.53,1,2.08,,2016,269.1859166666667,-28.86513888888889
KMT-2016-BLG-0092,SAO42M0403.027375,17:56:49.39,-28:48:44.89,7544.70867,26.42,0.061,20.95,18.93,18.93,1,2.01,OB160971 MB16307,2016,269.20579166666664,-28.812469444444446
KMT-2016-BLG-0093,BLG42M0404.069570,17:56:42.23,-28:41:38.00,7561.06982,22.86,0.567,19.65,19.71,19.71,1,1.82,,2016,269.1759583333333,-28.69388888888889
KMT-2016-BLG-0094,BLG42M0501.051518,17:56:12.23,-29:00:17.78,7555.40564,18.49,0.465,20.4,19.91,19.91,1,2.49,,2016,269.0509583333333,-29.00493888888889
KMT-2016-BLG-0095,SAO42M0501.063344,17:56:29.28,-28:58:43.61,7517.54056,21.13,0.071,20.26,20.0,20.19,1,2.58,MB16233,2016,269.12199999999996,-28.978780555555552
KMT-2016-BLG-0096,BLG42M0504.028368,17:56:20.38,-28:42:39.60,7561.40733,4.65,0.405,19.49,18.7,18.7,1,1.76,OB161162,2016,269.08491666666663,-28.711
KMT-2016-BLG-0097,SAO42M0602.010297,17:55:56.66,-28:53:00.46,7572.20206,24.99,0.106,19.22,19.03,19.03,2,1.74,OB161163 MB16346,2016,268.98608333333334,-28.88346111111111
KMT-2016-BLG-0098,SAO42M0602.028920,17:55:34.79,-28:57:57.24,7576.07447,19.64,0.268,20.37,18.92,18.92,4,1.76,OB161267,2016,268.8949583333333,-28.965899999999998
KMT-2016-BLG-0099,SAO42M0603.003051,17:55:43.20,-28:50:09.31,7564.68408,38.38,0.201,19.92,16.43,16.43,2,1.98,,2016,268.93,-28.835919444444443
KMT-2016-BLG-0100,SAO42M0607.011687,17:55:35.20,-28:19:05.63,7511.25353,22.76,0.216,19.83,20.0,21.01,2,2.61,,2016,268.89666666666665,-28.318230555555555
KMT-2016-BLG-0101,BLG42M0702.025407,17:54:52.57,-28:57:16.09,7490.51001,39.04,0.783,18.95,18.91,18.91,1,1.91,OB160580,2016,268.7190416666666,-28.954469444444445
KMT-2016-BLG-0102,SAO42M0705.018379,17:55:03.17,-28:32:36.28,7503.42064,10.28,0.16,19.97,19.03,19.03,2,2.37,,2016,268.7632083333333,-28.543411111111112
KMT-2016-BLG-0103,BLG42M0707.022243,17:54:59.98,-28:16:23.56,7488.51888,6.3,0.586,19.86,20.0,20.05,2,2.69,OB160614,2016,268.74991666666665,-28.27321111111111
KMT-2016-BLG-0104,BLG42M0801.006213,17:54:23.72,-29:05:20.11,7460.02377,23.5,0.849,16.33,16.34,16.34,1,1.72,OB160061 OB160131 MB16042,2016,268.5988333333333,-29.088919444444443
